term	section	course	instructor	whenWhere
Summer 2021	5068	CNT-146	Houshiar	NOT AVAILABLE
Summer 2021	1631	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	1719	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	2390	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	2400	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	2402	COMM-120	Villa	NOT AVAILABLE
Summer 2021	4156	COMM-120	Villa	NOT AVAILABLE
Summer 2021	4265	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	4267	COMM-120	Perry	NOT AVAILABLE
Summer 2021	4268	COMM-120	Morgan	NOT AVAILABLE
Summer 2021	4269	COMM-120	Moten	NOT AVAILABLE
Summer 2021	4270	COMM-120	Moten	NOT AVAILABLE
Summer 2021	4271	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	4274	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	4275	COMM-120	Padilla	NOT AVAILABLE
Summer 2021	4327	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	4328	COMM-120	Padilla	NOT AVAILABLE
Summer 2021	5002	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	5006	COMM-120	Hawkins	NOT AVAILABLE
Summer 2021	5008	COMM-120	Paiz	NOT AVAILABLE
Summer 2021	5041	COMM-120	Paiz	NOT AVAILABLE
Summer 2021	5066	COMM-120	Morgan	NOT AVAILABLE
Summer 2021	5712	COMM-120	Johnson-Rongstad	NOT AVAILABLE
Summer 2021	9035	COMM-120	Cotella	NOT AVAILABLE
Summer 2021	9038	COMM-120	Cotella	NOT AVAILABLE
Summer 2021	9285	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	9309	COMM-120	Phalen	NOT AVAILABLE
Summer 2021	9470	COMM-120	Cotella	NOT AVAILABLE
Summer 2021	5059	COMM-180	Phalen	NOT AVAILABLE
Summer 2021	5121	COMM-180	Padilla	NOT AVAILABLE
Summer 2021	5143	COMM-180	Padilla	NOT AVAILABLE
Summer 2021	1021	COMSC-110	Colber	NOT AVAILABLE
Summer 2021	5070	COMSC-110	Elkady	NOT AVAILABLE
Summer 2021	5073	COMSC-110	Khaja	NOT AVAILABLE
Summer 2021	5241	COMSC-110	Gentry-Kolen	NOT AVAILABLE
Summer 2021	5582	COMSC-110	Stalica	NOT AVAILABLE
Summer 2021	9251	COMSC-110	Strickland	NOT AVAILABLE
Summer 2021	5191	COMSC-140	Amato	NOT AVAILABLE
Summer 2021	5192	COMSC-140	Amato	NOT AVAILABLE
Summer 2021	5199	COMSC-140	Pentcheva	NOT AVAILABLE
Summer 2021	5541	COMSC-150DS	Lo	NOT AVAILABLE
Summer 2021	5108	COMSC-150IO	Gentry-Kolen	NOT AVAILABLE
Summer 2021	5183	COMSC-150K	Pentcheva	NOT AVAILABLE
Summer 2021	5201	COMSC-150K	Amato	NOT AVAILABLE
Summer 2021	5211	COMSC-150K	Amato	NOT AVAILABLE
Summer 2021	5033	COMSC-165	Pentcheva	NOT AVAILABLE
Summer 2021	5074	COMSC-165	Melvin	NOT AVAILABLE
Summer 2021	5098	COMSC-165	Pentcheva	NOT AVAILABLE
Summer 2021	5047	COMSC-200	Lo	NOT AVAILABLE
Summer 2021	5095	COMSC-200	Dietrich	NOT AVAILABLE
Summer 2021	5115	COMSC-200	Dietrich	NOT AVAILABLE
